"gc","map"
0.655157,0.975644
0.633666,0.978975
0.658517,0.973584
0.656457,0.984244
0.650066,0.956975
0.654137,0.989485
0.639766,0.975936
0.644946,0.990081
0.641806,0.984564
0.646256,0.988269
0.646796,0.955311
0.663727,0.963554
0.652017,0.981121
0.630916,0.968286
0.632266,0.982364
0.620156,0.971963
0.630166,0.99269
0.619006,0.973253
0.633286,0.963169
0.626916,0.93002
0.636406,0.975945
0.610586,0.957741
0.635776,0.973823
0.626396,0.967941
0.622346,0.955532
0.635136,0.98359
0.611236,0.94092
0.601446,0.933306
0.629036,0.922957
0.629206,0.969122
0.608426,0.981987
0.584576,0.971216
0.607576,0.981486
0.620926,0.983553
0.623106,0.960525
0.625706,0.986002
0.617006,0.984043
0.616396,0.974937
0.608056,0.96255
0.620456,0.942082
0.594756,0.982833
0.639246,0.95814
0.624926,0.983927
0.623466,0.979164
0.602426,0.969612
0.597086,0.971756
0.612896,0.964786
0.599886,0.945086
0.601556,0.932994
0.621896,0.961687
0.617256,0.964859
0.608396,0.941378
0.603796,0.944275
0.626016,0.947271
0.624196,0.979462
0.637886,0.980331
0.633056,0.972141
0.639636,0.986542
0.628106,0.963451
0.658777,0.981707
0.647186,0.980538
0.644176,0.975421
0.637516,0.981835
0.650777,0.979149
0.634626,0.95654
0.646946,0.962537
0.638906,0.952454
0.654357,0.981043
0.639556,0.962476
0.636556,0.959706
0.652537,0.972575
0.641286,0.967572
0.641876,0.985016
0.654427,0.958053
0.655657,0.975298
0.658587,0.969968
0.647546,0.983393
0.645266,0.968612
0.660207,0.990375
0.638236,0.974805
0.644486,0.982102
0.630846,0.986512
0.635636,0.972293
0.634336,0.984421
0.624486,0.984232
0.615286,0.973122
0.608056,0.959023
0.631846,0.966805
0.649327,0.984169
0.661427,0.991332
0.614586,0.965925
0.630726,0.976091
0.625436,0.979064
0.627996,0.969217
0.638026,0.988874
0.641276,0.981007
0.644586,0.985928
0.647286,0.990712
0.636486,0.989334
0.631886,0.975499
0.626226,0.979075
0.631006,0.784025
0.640076,0.660271
0.637176,0.669454
0.628506,0.723035
0.616506,0.984633
0.604246,0.970393
0.612016,0.990998
0.627856,0.982139
0.638566,0.984089
0.621716,0.978762
0.661547,0.988936
0.617146,0.971418
0.607906,0.982333
0.614256,0.956884
0.619906,0.964678
0.601856,0.978464
0.587396,0.983095
0.581636,0.980344
0.595586,0.970628
0.603296,0.964791
0.625876,0.970281
0.580956,0.968773
0.606196,0.983608
0.609066,0.966615
0.592686,0.902812
0.608736,0.962979
0.630666,0.951628
0.635466,0.941777
0.635636,0.957336
0.644506,0.967975
0.624136,0.941752
0.616076,0.976002
0.637446,0.956745
0.600006,0.983166
0.612916,0.975429
0.623786,0.908682
0.614346,0.976604
0.592166,0.913746
0.618606,0.966337
0.640766,0.974008
0.570426,0.991341
0.580566,0.987582
0.594896,0.980335
0.605146,0.944457
0.607136,0.976317
0.610846,0.974209
0.616866,0.983361
0.633456,0.988912
0.616826,0.99255
0.625026,0.982013
0.628386,0.986632
0.626736,0.982438
0.625426,0.974043
0.626976,0.987937
0.622706,0.976852
0.619686,0.974383
0.636566,0.956908
0.614066,0.946076
0.599496,0.949303
0.611176,0.917959
0.617996,0.959297
0.612866,0.950534
0.601206,0.943093
0.606436,0.916099
0.611846,0.978853
0.603816,0.973407
0.585316,0.959847
0.592586,0.978822
0.585596,0.969278
0.628556,0.957225
0.604946,0.964174
0.608126,0.948365
0.613116,0.986851
0.632996,0.980952
0.617316,0.969706
0.634196,0.970318
0.573826,0.97833
0.586556,0.960473
0.642386,0.972014
0.595996,0.936067
0.577716,0.941541
0.607306,0.915404
0.632036,0.939749
0.609246,0.929399
0.587676,0.982527
0.579366,0.961297
0.576956,0.981263
0.572956,0.954768
0.581516,0.925615
0.605686,0.959181
0.620306,0.961796
0.614376,0.925079
0.617656,0.940537
0.568066,0.930142
0.619986,0.920896
0.622426,0.92932
0.607396,0.944036
0.592646,0.934882
0.597956,0.969336
0.593936,0.956373
0.628706,0.96868
0.625786,0.948905
0.613696,0.963104
0.602646,0.946577
0.597406,0.959943
0.551346,0.971138
0.553216,0.980269
0.580456,0.932505
0.589316,0.939355
0.541175,0.991079
0.587186,0.950503
0.613146,0.96482
0.582596,0.950989
0.626726,0.964901
0.584796,0.956113
0.569276,0.973017
0.580236,0.965134
0.569246,0.972357
0.577186,0.968534
0.591256,0.961256
0.607086,0.953217
0.615676,0.951011
0.609936,0.989471
0.607836,0.968373
0.622356,0.985993
0.612826,0.983162
0.622166,0.980501
0.635526,0.981377
0.648757,0.975019
0.631746,0.972976
0.628006,0.971035
0.626166,0.95942
0.637466,0.970568
0.617536,0.95824
0.615306,0.976873
0.623646,0.928684
0.634506,0.969218
0.633196,0.958742
0.619626,0.986457
0.629576,0.989
0.634796,0.983742
0.644066,0.969632
0.639306,0.95454
0.647416,0.980887
0.649327,0.975364
0.657537,0.981546
0.663217,0.990373
0.658737,0.992515
0.648356,0.990332
0.646386,0.993023
0.641286,0.977106
0.644566,0.972424
0.623496,0.982867
0.648497,0.994111
0.641496,0.961333
0.628146,0.963715
0.638296,0.984119
0.627996,0.951579
0.628956,0.990156
0.621816,0.962936
0.629036,0.962913
0.636096,0.980914
0.636216,0.962501
0.626856,0.961042
0.620066,0.959784
0.619046,0.987214
0.612646,0.950695
0.610896,0.952148
0.614126,0.961091
0.620606,0.968361
0.627846,0.969109
0.609366,0.940418
0.597816,0.967499
0.621076,0.982557
0.613166,0.977652
0.608186,0.911348
0.628566,0.981134
0.620026,0.947524
0.638456,0.964994
0.628226,0.982426
0.625896,0.967343
0.595116,0.963806
0.591026,0.975655
0.618406,0.974817
0.633306,0.976113
0.636466,0.969169
0.648346,0.978449
0.649616,0.981276
0.649746,0.989051
0.634876,0.979094
0.660907,0.978364
0.656537,0.980319
0.659227,0.963801
0.653367,0.947221
0.650186,0.961962
0.642646,0.968915
0.655197,0.963965
0.638616,0.953972
0.667867,0.970275
0.670847,0.96889
0.653307,0.964098
0.650167,0.965757
0.657947,0.958824
0.649297,0.965754
0.643426,0.965869
0.643316,0.75228
0.646556,0.938129
0.658437,0.966132
0.660137,0.98407
0.646806,0.979499
0.646266,0.97857
0.640206,0.960755
0.644476,0.947118
0.644606,0.97678
0.646306,0.971247
0.653857,0.948499
0.652147,0.987882
0.658147,0.954343
0.652697,0.959188
0.663797,0.990075
0.650837,0.965599
0.659447,0.95942
0.661977,0.971185
0.656207,0.988464
0.658507,0.972745
0.660777,0.980577
0.663217,0.971859
0.643876,0.962613
0.644476,0.960502
0.659517,0.986574
0.641026,0.957835
0.656537,0.98185
0.647726,0.955196
0.644276,0.978478
0.641836,0.968703
0.632636,0.978999
0.650286,0.991767
0.640806,0.973129
0.638666,0.970602
0.624446,0.972713
0.629936,0.988993
0.627346,0.987623
0.627116,0.987603
0.616096,0.994244
0.594896,0.971926
0.636566,0.984256
0.623276,0.957401
0.623906,0.976981
0.604606,0.978559
0.597906,0.983826
0.598746,0.955474
0.604336,0.730688
0.607256,0.880857
0.595056,0.725853
0.609366,0.940392
0.586406,0.963134
0.611726,0.975404
0.588416,0.965645
0.597066,0.949717
0.560326,0.9091
0.538065,0.942155
0.493415,0.966494
0.570086,0.966737
0.550045,0.96764
0.562436,0.967929
0.517075,0.921579
0.514735,0.949033
0.534385,0.942936
0.542715,0.97604
0.522175,0.983839
0.500515,0.991685
0.506175,0.982963
0.576716,0.966105
0.518705,0.971061
0.524225,0.988367
0.578746,0.983911
0.582896,0.982027
0.620956,0.964695
0.624006,0.966509
0.616706,0.928127
0.616686,0.981093
0.573246,0.975047
0.594076,0.93868
0.583106,0.980898
0.588986,0.975808
0.605936,0.951911
0.552576,0.985677
0.524165,0.99343
0.520765,0.991882
0.556976,0.991691
0.588096,0.966898
0.568566,0.918824
0.560856,0.979461
0.596796,0.951012
0.590076,0.959043
0.572866,0.947638
0.517865,0.93236
0.528075,0.873026
0.580846,0.934057
0.559216,0.898651
0.577716,0.948325
0.575816,0.977538
0.611666,0.953213
0.629936,0.948788
0.632506,0.948433
0.622006,0.949182
0.617766,0.969501
0.605006,0.956454
0.574446,0.970133
0.550816,0.959729
0.531525,0.977643
0.570626,0.965815
0.589806,0.941412
0.618836,0.968196
0.583606,0.949159
0.602696,0.956
0.607916,0.956982
0.632876,0.970499
0.648196,0.939326
0.589916,0.963912
0.574996,0.985013
0.585666,0.992821
0.574806,0.964059
0.566126,0.987375
0.591096,0.95247
0.563196,0.95848
0.581346,0.977572
0.597316,0.978315
0.601716,0.956437
0.612476,0.957368
0.572886,0.977378
0.568576,0.978505
0.587026,0.98606
0.553176,0.991448
0.565316,0.954977
0.542195,0.836861
0.564086,0.969164
0.567996,0.954239
0.559296,0.972818
0.584266,0.97394
0.580086,0.970923
0.572586,0.946854
0.601656,0.943123
0.649716,0.968964
0.574656,0.981394
0.549655,0.99025
0.594886,0.932065
0.612316,0.984264
0.623606,0.977673
0.630806,0.972628
0.621816,0.98929
0.597876,0.966362
0.626436,0.962128
0.641606,0.967178
0.621016,0.93347
0.637846,0.945525
0.637646,0.951976
0.603746,0.958401
0.578876,0.991677
0.596916,0.962459
0.600616,0.924307
0.597406,0.967768
0.580676,0.973875
0.577706,0.962803
0.573436,0.901986
0.568336,0.951043
0.556056,0.980958
0.588746,0.947956
0.596416,0.968738
0.602706,0.529164
0.608016,0.624638
0.593476,0.471074
0.597016,0.527659
0.564646,0.548891
0.592796,0.542626
0.595036,0.4932
0.601286,0.513568
0.594386,0.553328
0.588976,0.607808
0.570316,0.542096
0.579316,0.514807
0.581436,0.51845
0.582886,0.527028
0.628476,0.867632
0.621726,0.848073
0.577016,0.536433
0.580966,0.487907
0.567546,0.572549
0.426814,0.618758
0.419364,0.443807
0.567556,0.426852
0.582436,0.479288
0.588826,0.474255
0.589146,0.478585
0.607736,0.507414
0.608306,0
0.609046,0
0.608436,0
0.607886,0
0.607966,0
0.607636,0
0.607946,0
0.608046,0
0.608196,0
0.607566,0
0.608286,0
0.608146,0
0.607716,0
0.607696,0
0.607366,0
0.607646,0
0.607396,0
0.607786,0
0.607376,0
0.607586,0
0.607806,0
0.602076,0.470109
0.579866,0.49394
0.604816,0.82204
0.611066,0.849404
0.506185,0.756749
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.097951,0.607512
0.637626,0.620732
0.549025,0.483662
0.576326,0.509696
0.602086,0.82181
0.559246,0.912153
0.556186,0.768619
0.585706,0.531385
0.576406,0.499315
0.576436,0.511396
0.539835,0.640698
0.561116,0.384146
0.635856,0.504307
0.572566,0.537345
0.581866,0.574251
0.620466,0.413652
0.547495,0.439185
0.553646,0.511438
0.583696,0.488686
0.576306,0.498698
0.572786,0.498027
0.604276,0.51846
0.559566,0.4798
0.543275,0.598939
0.584146,0.621189
0.593716,0.680047
0.569196,0.938692
0.542125,0.923352
0.543175,0.933454
0.554516,0.859056
0.584976,0.480385
0.588926,0.486687
0.596176,0.540266
0.578836,0.541339
0.601236,0.571372
0.606006,0.574969
0.563866,0.568424
0.571096,0.579658
0.578446,0.565696
0.579566,0.850472
0.601116,0.945228
0.591066,0.953771
0.614186,0.908574
0.605846,0.936426
0.579716,0.975831
0.570196,0.975784
0.569476,0.96344
0.580576,0.93386
0.594496,0.725037
0.561216,0.598894
0.568806,0.627276
0.577796,0.783726
0.557166,0.888706
0.605496,0.662144
0.569006,0.495634
0.603066,0.484473
0.603916,0.439425
0.592936,0.451263
0.606316,0.628964
0.562366,0.526512
0.590466,0.515245
0.592016,0.494148
0.606396,0.527777
0.599056,0.509019
0.585116,0.510157
0.580346,0.546538
0.579236,0.545286
0.542135,0.820402
0.546975,0.935812
0.606676,0.951982
0.563886,0.945438
0.545635,0.927621
0.559506,0.906902
0.569446,0.921123
0.500805,0.916876
0.579646,0.913035
0.591406,0.933295
0.584886,0.935824
0.529175,0.92172
0.533665,0.915884
